"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",12084.4855813577,-0.078050145293485,0.0271916507833119,-2.87037171503343,0.00409989519899471,0.00880271616254747
"Cdc45",2042.65189174944,0.4787677868131,0.0534310185402113,8.96048400149414,3.23256350536525e-19,1.61047989928279e-18
"H19",23.8977795570162,-6.07514027427972,0.880938746115719,-6.8962119115166,5.34075094882222e-12,2.06716206461213e-11
"Scml2",9.66701153693108,-0.382748374513746,0.636611540158918,-0.601227515319939,0.547688460281944,0.668561123892677
"Apoh",9.66462731338115,1.88649304467262,0.671016196347549,2.81139718376562,0.00493268529564655,0.0104688027362013
"Narf",3774.1534340613,-0.894943389187383,0.0451625901789333,-19.816033262079,2.16517810652162e-87,3.1186332189002e-86
"Cav2",3506.62154745132,1.11571852552684,0.0396396270004887,28.1465445048987,2.64150319412586e-174,7.30523466380391e-173
"Scmh1",1646.11512004857,-0.133665987269288,0.0557294881337378,-2.39847864650255,0.0164633363663732,0.0321739813004376
"Cox5a",3906.61127541948,0.130984291729194,0.0376861923168824,3.47565736086626,0.000509602921347768,0.00121582258951435
"Tbx2",398.69652759355,-3.2783676727458,0.128668930975681,-25.4790931104063,3.36151355665152e-143,7.75182264694899e-142
"Ngfr",66.5090489444745,5.566404283666,0.502831991150603,11.0701076733974,1.75189987780693e-28,1.10863261617256e-27
"Wnt9a",449.840837096519,-1.93035210657632,0.106353753721026,-18.150295960778,1.27710911391217e-73,1.59083220593912e-72
"Fer",2146.80647829005,-0.00283296725877468,0.0485882199639039,-0.0583056399448116,0.953505175133675,0.971611618296196
"Xpo6",5607.13474004731,-0.177670795878444,0.0316686007117429,-5.6103140614155,2.01959761816011e-08,6.596256950423e-08
"Tfe3",4203.17784641678,0.0880636588016886,0.0349613233397163,2.51888802794966,0.0117726087869135,0.0235976942110157
"Axin2",642.52289530828,0.0748199657636199,0.0939572463973323,0.796319268949374,0.425846488553838,0.553005224017818
"Brat1",1596.92008091302,0.152662250522234,0.0534504883705466,2.85614323042101,0.00428821637373113,0.00918162622102378
"Gna12",7615.87111721991,0.558706322896359,0.0289833361430702,19.2768120322112,8.41027480619228e-83,1.1615271421525e-81
"Slc22a18",0.890308744431025,3.5544291542509,2.29095704601157,1.5515040582882,0.120780935548012,0.194753195271192
"Pih1d2",56.1346666336913,0.284453622471743,0.273757984719646,1.03906968325709,0.298772329345281,0.417709056895865
"Dlat",4460.40206301234,0.269449145551485,0.035495151813112,7.59115348964222,3.17070091016501e-14,1.33708434388472e-13
"Sdhd",5701.09590170124,0.45744877164564,0.0339312502550658,13.4816361969257,2.00608183440718e-41,1.63186483230141e-40
"Ccnd2",10942.1143174819,0.220119512129929,0.0287820977354507,7.64779253246746,2.04458732499484e-14,8.6851504657442e-14
"Gpr107",3993.86320232761,-0.00656175239248601,0.0379501512641221,-0.172904512206502,0.862726484847994,0.910597234312378
"Nalcn",1.44145383267565,-0.60070274089786,1.67213086983992,-0.35924385568898,0.71941267123386,0.80852116865051
"Btbd17",197.073559106772,8.52469338898513,0.731507099682003,11.6536030787547,2.19957951268893e-31,1.48114243076663e-30
"Slfn4",1.44736801430446,-2.99582227842747,1.70118662315042,-1.76101918370339,0.0782351561264269,0.132447801396475
"Drp2",53.0309345045479,0.445258445919672,0.265182688893944,1.67906301793986,0.0931397627429961,0.154698561388308
"Tspan32",362.413146056197,2.42005905107898,0.121782991894057,19.8718968342006,7.12587069143842e-88,1.02967915569602e-86
"Lhx2",1.51265498195126,-0.0337474408795119,1.62038442394864,-0.0208268114533429,0.983383809928207,0.98972254173795
"Clec2g",131.482052853561,1.95556432836323,0.1959483502398,9.97999894344622,1.86468767633088e-23,1.04604884517524e-22
"Mid2",1875.79192274645,0.0177687064486541,0.0508991488903772,0.349096337286955,0.727016986235895,0.814340154362968
"Trim25",4907.49324408192,0.252593955787477,0.0345058618771958,7.32032014405097,2.47380066048813e-13,1.01202572871934e-12
"Dgke",2053.58620337612,0.40366765459688,0.0479384414372407,8.42054189695231,3.74746873190688e-17,1.76235279163761e-16
"Scpep1",10003.1186688514,-0.212622429489309,0.0304476362872715,-6.9832162826444,2.88497742538579e-12,1.12927981254133e-11
"Mnt",2613.72697928313,-0.310032097767548,0.0431795518687123,-7.1800675169164,6.96770009078531e-13,2.79953125163004e-12
"Itgb2",132.967516353049,-0.0433028652207209,0.168650755177919,-0.256760577057828,0.797363604928048,0.865709524925275
"Hddc2",796.724924372957,-0.0765568363963735,0.0815391690035503,-0.938896451017793,0.347783911531475,0.472282023728555
"Tpd52l1",763.472033414876,0.505252005761633,0.0736347793086774,6.86159462288348,6.80960746581606e-12,2.62259702400494e-11
"Pemt",529.124709329638,0.507017704284664,0.089877602084109,5.64120195162959,1.68867153097167e-08,5.53874408495506e-08
"Cdh1",171.426546178684,3.05707011327763,0.18640594664165,16.4000675319366,1.91025586745087e-60,2.04232966827225e-59
"Ckmt1",25.1568054251422,2.77901327169496,0.500181629242285,5.55600827624324,2.76013789982595e-08,8.95253037214174e-08
"Bcl6b",3.65098593650976,0.96451084078698,1.07298438528357,0.898904824725923,0.368703357874802,0.49438968860073
"Clec10a",3.3672298364781,-1.87878256603102,1.13378038461764,-1.65709566995607,0.0975001344415208,0.161166962416053
"Alox12",1.3714811637689,0.720616059417954,1.69082026523729,0.426193176314232,0.669967089317439,0.771895466882567
"Comt",3399.57924220856,-0.17036498522824,0.0373359312367576,-4.56303029239869,5.04205364330764e-06,1.41689206494349e-05
"Rtca",3031.97327312303,0.298460852106954,0.0395281651055762,7.55058706392749,4.33300624992082e-14,1.81997594850027e-13
"Dbt",2292.96601846698,-0.241890011961354,0.0457230357630761,-5.2903314035131,1.22094924863606e-07,3.81699428619762e-07
"Dazap2",16069.6806217383,0.393238255331553,0.0227923837852935,17.2530551887813,1.06135583543538e-66,1.2250269303865e-65
"Mcts1",1434.17613243857,-0.354200277776653,0.055280712656747,-6.40730303127565,1.48116249576888e-10,5.38526157096822e-10
"Rem1",6.41222515517927,-0.210131432392018,0.795677499868439,-0.264091208343534,0.791709638208458,0.8617728970186
"Trappc10",4305.46802033447,0.300992901726931,0.034669669972724,8.68173541783739,3.89775292590209e-18,1.88062396536443e-17
"Ccm2",2495.58783948716,0.25016346001074,0.0436261204329267,5.73425868558163,9.79397558110948e-09,3.25992223487292e-08
"Tbrg4",4204.30099546541,0.274326636766854,0.0361377034101466,7.59114749637989,3.17084759010554e-14,1.33708434388472e-13
"Mx1",4.97772220088638,2.81384625531259,1.02428645601223,2.74712824600601,0.00601196212518708,0.0126035390603922
"Fap",0.484390018720021,2.84934818831794,3.07276560042309,0.927291098261975,0.353775414907077,0.478366997159653
"Ndufa9",3903.87295934413,0.0767668505606322,0.035374970598705,2.17008945198791,0.0300000701055586,0.0558517492964627
"Egfl6",5.11774772467606,-1.52078115234911,0.918826376172962,-1.65513441035876,0.0978972362177184,0.161728248282085
"Lck",24.7497118381649,-2.29810615034514,0.481460393497193,-4.77319875400829,1.81322687675002e-06,5.26318010545409e-06
