"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Il22ra1",0.815768158327284,5.71424775778278,22.8307009897001,2.17692728983002e-12,1.8254843606726e-11,18.0934240005779,"up"
"Gm45889",1.71688320907903,3.44006500175879,22.8237035781901,2.18596475509939e-12,1.83175182260214e-11,18.0890149331967,"up"
"Hnrnpab",0.612886270357124,9.4017488732706,22.8228523464623,2.18706689529258e-12,1.83175182260214e-11,18.0884784838047,"up"
"Tmem37",1.16454982125497,4.27182253160105,22.8109677170856,2.20251691163734e-12,1.84356835770668e-11,18.0809867407702,"up"
"Pyroxd2",-0.956157559384528,5.07862899867049,-22.8034386966457,2.21236505649932e-12,1.85068443922865e-11,18.0762387159114,"down"
"Npdc1",-0.804155238214289,6.44790014751633,-22.7930975497748,2.22596843455536e-12,1.86093127521466e-11,18.0697148284073,"down"
"Ffar4",2.01680496343314,2.9387685657694,22.7635703410362,2.26530548567859e-12,1.89266617599797e-11,18.0510714505348,"up"
"Abhd17c",-0.82625346449157,6.3107613728436,-22.7315104422187,2.30886076769562e-12,1.92788471392519e-11,18.0308026602905,"down"
"Arhgap42",0.92591292953855,5.80793383721633,22.7249501548912,2.31788329914847e-12,1.93424335540356e-11,18.0266517613643,"up"
"Tdrp",-3.71494537837474,1.58164661833796,-22.7125240021226,2.33507691586418e-12,1.94686505133736e-11,18.0187861956574,"down"
"Mcm6",0.531588232195563,8.47835393138103,22.7119737452137,2.33584143601231e-12,1.94686505133736e-11,18.0184377960097,"stable"
"Prrc2a",-0.425084783529872,9.99491602283713,-22.7013405448687,2.35066780805196e-12,1.95803505174946e-11,18.0117037088297,"stable"
"Ankrd13b",-0.885970326382028,5.27033752528832,-22.6999773512116,2.35257584592862e-12,1.95843745768885e-11,18.010840169161,"down"
"Acp6",-1.15295360259089,4.47697642002135,-22.683120216823,2.37630796546427e-12,1.97699616690926e-11,18.0001576020807,"down"
"Ttyh3",-0.567471678707139,7.03312272745716,-22.6813516736068,2.37881260057978e-12,1.97744554457353e-11,17.9990364140742,"stable"
"Pcnx",-0.679389415000778,5.96135107414979,-22.6807074590223,2.37972564808253e-12,1.97744554457353e-11,17.9986279861168,"down"
"Phf21a",-1.00627691175026,5.96794317277736,-22.6629641939805,2.40502125935914e-12,1.99725753405631e-11,17.9873744954325,"down"
"Hat1",0.647357815916384,7.0209540242875,22.6567714787869,2.41391750503984e-12,2.00343491481085e-11,17.9834448387119,"up"
